Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ADA,2021-01-09,0.2975623278,0.2987607799,0.3214063097,0.2650445953
ADA,2021-01-10,0.3294656093,0.3033826189,0.3384086427,0.2958853337
ADA,2021-01-11,0.3085232745,0.33018219,0.3396538257,0.278021792
ADA,2021-01-12,0.2672664928,0.3012751322,0.3032608793,0.2323832905
ADA,2021-01-13,0.2863283773,0.2756987742,0.3103695883,0.263172792
ADA,2021-01-14,0.3062347467,0.2891271048,0.3178087833,0.2719501521
ADA,2021-01-15,0.3032266496,0.3122728299,0.3239833509,0.2964570754
ADA,2021-01-16,0.3033429417,0.3116003981,0.3314625835,0.2778489159
ADA,2021-01-17,0.34441651,0.3020040941,0.3669632648,0.3020040941
ADA,2021-01-18,0.3933348572,0.3508352266,0.3973654439,0.3413860841
ADA,2021-01-19,0.371185,0.3812169868,0.3972077628,0.3644808624
ADA,2021-01-20,0.3755924875,0.3713956065,0.3851397714,0.3637951841
ADA,2021-01-21,0.3705092626,0.3674030634,0.3743103886,0.3304438354
ADA,2021-01-22,0.3086169328,0.3755634322,0.3792447772,0.3000168185
ADA,2021-01-23,0.352672675,0.307986765,0.3603616179,0.2802102202
ADA,2021-01-24,0.3443759473,0.3493166838,0.3581615807,0.3364020417
ADA,2021-01-25,0.352352436,0.3459686666,0.3696054269,0.3372526315
ADA,2021-01-26,0.3456230966,0.3540064026,0.3644797243,0.340467889
ADA,2021-01-27,0.3443120905,0.3430350017,0.3509525862,0.3281830791
ADA,2021-01-28,0.3150066054,0.3436344813,0.3440674511,0.3049258934
ADA,2021-01-29,0.3476940125,0.312231904,0.3493390733,0.3051316963
ADA,2021-01-30,0.3531662676,0.3445458964,0.368725892,0.3311428999
ADA,2021-01-31,0.366068458,0.3477785874,0.3769300883,0.337423367
ADA,2021-02-01,0.3463835053,0.3643248702,0.3773090857,0.3386286503
ADA,2021-02-02,0.3999322507,0.3452186234,0.4230764574,0.3335115038
ADA,2021-02-03,0.4324968789,0.4089683164,0.4560079938,0.3911587114
ADA,2021-02-04,0.4427583399,0.4256761241,0.4499859685,0.4160112823
ADA,2021-02-05,0.4331530041,0.4421973805,0.4502728645,0.4113114502
